Name,Rating,Rating Count,Department,Would Take Again %
John Bachmann,3.8,16,Human Development,
YI Cui,3.5,7,Computer Science,
Steven J. Tepper,4.4,8,Sociology,
Brandt Eichman,4.2,11,Biology,100.0
Carlos Jauregui,3.5,17,Languages,
Richard Peters,3.9,14,Engineering,67.0
Christine Mowery,0.0,0,Sociology,
Thomas Palmeri,3.9,9,Psychology,100.0
Daniel Kaplan,4.7,10,Biology,
Alice Chuang,3.8,6,English,
Rosevelt Noble,4.2,21,Sociology,67.0
Charlene Harb,4.8,2,Music,
G. Kane Jennings,4.8,15,Engineering,100.0
Joan King,1.8,3,Nursing,0.0
Dean Masullo,4.7,16,English,100.0
Ayaka Sogabe,4.6,8,Languages,
Grace Zoorob,3.2,11,Chemistry,
Chad Lykins,3.0,2,Philosophy,
Jim Foglesong,4.6,6,Music,
Pamela Corley,3.5,10,Political Science,
Terri Spetalnick,3.9,25,Sociology,63.0
Louis Betty,3.3,2,TA,
Katherine Fusco,3.4,25,English,100.0
Peter Ciesielski,4.0,1,Engineering,
Jennifer Krause,4.4,19,Humanities,
James Grady,4.3,9,Philosophy,
Robert Reed,4.4,8,Engineering,50.0
Travis Dunlap,4.2,3,Nursing,100.0
Clarence Creech,0.0,0,Medicine,
Bridget Orr,4.2,11,English,100.0
Sharma Shubra,4.1,7,Women's Studies,
Mark Wollaeger,4.4,34,English,100.0
David Lowe,3.8,3,Not Specified,
Justin Fitzpatrick,4.9,22,Mathematics,100.0
Bob Hammond,3.5,2,Economics,
Henning Grunwald,4.2,8,History,
Shamindra Ghosh,2.8,12,Mathematics,
Elena Deanda,3.3,4,Languages,
David Dickinson,2.5,4,Education,
Catalina Restrepo,4.5,1,Languages,
Houston Baker,3.3,10,English,0.0
Rodelio Manacsa,4.2,12,Political Science,
Irina Makoveeva,5.0,1,Not Specified,
T Trafton,4.5,2,Economics,
Fredrick Haselton,3.0,2,Engineering,100.0
Tim Gardner,0.0,0,Business,
Penelope (Penny) Brooks,3.1,6,Psychology,
Jinah Kim,2.8,3,Art History,
Suhas Ketkar,4.0,5,Economics,
James Foster,2.9,7,Economics,
Bushra Hamad,4.4,11,Religion,100.0
David Petrain,4.4,4,Classics,
David Franklin,3.0,5,Management,
Jeff Edmonds,4.3,8,Philosophy,
Holly Tucker,4.5,21,Medicine,72.0
Kenneth Faber,4.7,9,Philosophy,100.0
Ingrid A. Schwab,4.0,2,Languages,
Norman Tolk,2.6,9,Physics,0.0
Irene Foster,4.2,8,Management,
Kevin Kirkpatrick,3.9,9,Management,
Dayle Savage,2.6,7,Human Development,
Hortense Spillers,2.8,13,English,34.0
Erin O'Hara,3.5,2,Law,0.0
Bronwen Wickkiser,4.6,4,Classics,
John McCarthy,3.0,9,Languages,
Clare McCabe,2.9,12,Engineering,0.0
Kourosh Zarringhalam,3.9,7,Mathematics,100.0
Jonathan Bremer,4.2,8,Philosophy,100.0
Kathy Conkwright,2.0,4,Film,
Janet Eyler,4.8,2,Human Development,
Daniel Spoth,4.7,8,English,
Ken Spring,0.0,0,Sociology,
Stephen Benning,3.4,6,Psychology,
Clifford Ball,1.0,1,Business,
Bruce Barry,3.0,1,Management,
Kathy Keltner,0.0,0,Communication,
Steve Baum,4.3,22,Education,
Steve Wernke,4.1,12,Anthropology,100.0
Rachel Nisselson,2.8,3,Languages,
Janet McDonald,4.3,14,Management,0.0
Bonnie Dow,3.6,15,Communication,0.0
Kelly Holley-Bockelmann,4.0,2,Astronomy,
Todd Peterson,4.0,2,Physics,100.0
Paul Chaney,2.3,3,Management,
Diana Bellonby,4.5,8,English,
Elizabeth Weber,4.8,2,Languages,
John Morrell,4.4,8,English,
Jane Wanninger,3.8,3,English,
Peter Pintauro,4.8,2,Engineering,
David Muller,4.1,11,Theater,
Elena Olazagasti-Segovia,4.5,12,Spanish,60.0
Courtney Muse,3.9,22,Sociology,86.0
Ted Parent,1.1,6,Philosophy,
Tara Davis,4.2,5,Mathematics,
Humberto Garcia,4.2,9,English,
Robert Webster,4.0,4,Engineering,
John Rieser,2.2,10,Psychology,0.0
Caleb Stroup,4.8,18,Economics,
Jamie Zuehl,1.0,1,Anthropology,
Alice Goodyear,4.5,33,Economics,
Vanessa Beasley,4.8,6,Communication,100.0
Joel Rodrigue,3.5,18,Economics,40.0
Elizabeth Meadows,3.9,6,English,80.0
Paul Speer,4.6,4,Human Development,
Elizabeth Zechmeister,4.8,12,Political Science,100.0
Sharon Yates,0.0,0,Education,
Kevin Stack,4.2,4,Law,0.0
Jeffrey Black,3.5,2,Engineering,
Brian Mitchell,4.5,1,Education,
James Maiello,4.6,5,Music,
Forrest Perry,4.8,2,Computer Science,
Harry May,0.0,0,Political Studies,
Catherine Timura,0.0,0,Anthropology,
Hyeok Jeong,2.0,9,Economics,100.0
Erin Tarver,2.6,4,Philosophy,
Lauren Kohut,0.0,0,Anthropology,
Megan Minarich,4.3,10,English,100.0
Beth Koontz,0.0,0,Anthropology,
Kelly Oliver,4.2,6,Philosophy,100.0
Gary Sulikowski,3.3,14,Chemistry,100.0
Matthew Calef,4.8,2,Mathematics,
Adam Turk,4.7,3,Philosophy,
Joan Forry,4.0,9,Philosophy,
Serkan Akguc,4.1,16,Accounting,
Ali Onder,2.4,4,Economics,
Ju-Yi Yen,1.7,7,Mathematics,
Bettina Engh,0.0,0,Nursing,
Ahad Nasab,4.4,10,Mechanical Engineering,100.0
Miriam Shakow,4.0,7,Anthropology,
Carol Atkinson,3.3,13,Political Science,
Paul Dokecki,4.0,2,Psychology,
Ellen Fanning,0.0,0,Biology,
Sea Mitchell,3.7,5,Anthropology,
Angela Sutton,5.0,1,History,
Charles Lukehart,2.6,14,Chemistry,
Jonathon Whitehouse,2.7,33,Mathematics,
Michael Chance,4.1,12,Mathematics,
Jesse Peterson,3.9,15,Mathematics,100.0
Gabriel Cervantes,3.5,2,English,100.0
Matthew Nickodemus,4.0,5,Mathematics,
Kazuhiko Kawamura,3.0,5,Engineering,100.0
Chris Neiman,3.1,4,Human Development,
Constance Gee,2.3,3,Human Development,
Adam Weaver,2.3,4,Mathematics,
Nicholas Villanueva,4.1,9,History,
Morna O'Neill,4.8,5,Art History,
Jeffrey Nymann,0.0,0,Engineering,
Mrinal Raghupathi,4.5,9,Mathematics,
Matthew Eatough,4.9,4,English,
George Sweeney,4.7,3,Economics,
Giacomo Chiozza,3.9,8,Political Science,
Ralph McKenzie,1.0,2,Mathematics,
Isleide Zissimos,3.2,15,Economics,
Kat Baker,4.5,3,Religion,
Jeffrey Harris,0.0,0,Mathematics,
Terence McDonnell,4.5,3,Sociology,
Abey Lopez,5.0,1,Mathematics,
Chase Lesane-Brown,1.8,14,Clinical Sciences,
Mike Mihalik,4.6,19,Mathematics,100.0
Brooke Traynham,5.0,7,Engineering,
Betsey Robinson,4.7,6,Art History,100.0
Ellen Horowitz,0.0,0,Philosophy,
Nancy King,0.0,0,Law,
Dongping Zhuang,1.6,14,Mathematics,
Tugba Gursel Sevin,3.3,4,Languages,100.0
Marian Yagel,4.0,10,Medicine,
Gary Gerstle,4.7,7,History,
Thomas Nagle,3.7,9,Management,
Scott Davis,2.9,7,Economics,
Emily Nacol,4.7,18,Political Science,84.0
Juraj Foldes,4.3,12,Mathematics,
Jason Husser,4.9,9,Political Science,
Michael Alijewicz,3.7,9,English,
Thomas Weiler,1.8,5,Physics,0.0
Lauren Hoffer,4.4,6,English,
Michele Salisbury,0.0,0,Women's Studies,
Derek Riley,5.0,2,Computer Science,
Larry Churchill,4.8,2,Ethnic Studies,
Marilyn Ollila,4.7,3,Management,
Adam Wilsman,0.0,0,History,
Sandy Solomon,2.9,5,English,0.0
Alex Dafonte,3.6,11,Education,50.0
Ken Debelak,2.4,5,Engineering,0.0
Joanna Pressley,3.4,8,Mathematics,
David Merryman,4.1,14,Engineering,100.0
Marcio Bahia,4.9,14,Languages,100.0
Matjaz Konvalinka,2.5,1,Mathematics,
Zeynep Somer-Topcu,3.8,13,Political Science,100.0
Abhijit Barman,5.0,1,Engineering,
Mark Peter,3.5,3,Philosophy,
Katherine Donato,4.5,1,Sociology,
Dongping Huang,1.0,1,Mathematics,
Terra Dailey,0.0,0,Management,
Camille Sutton,4.8,6,Languages,
Julian Ledford,4.9,6,Languages,
Natalie Cisneros,2.9,8,Philosophy,
Jerry Kimbrough,5.0,1,Music,
Rufus Willett,3.8,6,Mathematics,
Jason Parker,0.0,0,Languages,
Grace Hernandez,0.0,0,Classics,
Jonathan Rattner,4.1,20,Film,100.0
Denise Callejas,4.5,5,Languages,
Elizabeth Edenberg,4.7,3,Philosophy,
David Mora,4.4,10,Languages,
Qiyu Sun,2.0,1,Mathematics,
Luke Froeb,5.0,1,Economics,
Wade Ostrowski,4.8,2,English,
Rosie Seagraves,4.2,9,Languages,
Rachel Early,3.8,4,Languages,
David Gray,5.0,1,Philosophy,
Stacy Hoehn,5.0,1,Mathematics,
Thomas Hagelbroek,2.0,1,Mathematics,
LU Sun,4.5,4,History,100.0
Allison McGuire,3.1,20,Human Development,
Susan Hansen,0.0,0,Philosophy,
Wai Suen,4.5,7,Philosophy,
Norman Whitman,4.6,11,Philosophy,
Christopher Davies,5.0,15,Philosophy,100.0
Christopher Wells,4.4,13,Philosophy,100.0
Terry Griffith,0.0,0,Human Development,
Fahad Al-Shehri,3.7,3,Languages,
Greg Stielstra,0.0,0,Marketing,
Richard Burstein,1.5,4,Mathematics,
Tyson Brown,3.8,3,Sociology,
Jill Fisher,3.0,2,Medicine,
Yasuko Shiomi,4.8,3,Languages,
Max Goldman,4.2,14,Classics,100.0
Stephanie Pruitt,5.0,7,English,
Suzanne Globetti,4.9,25,Political Science,100.0
Michael Brodrick,5.0,2,Philosophy,
Rebecca Chapman,4.8,17,English,100.0
Douglas McMahon,3.8,3,Biology,100.0
Scott Guelcher,3.1,6,Engineering,
Sarah Glynn,0.0,0,Sociology,
Deanna Matheuszik,1.0,1,History,
Matthew Tyska,0.0,0,Biomedical,
Charles Sentell,5.0,1,Philosophy,
Charlotte Hagood,0.0,0,English,
Jim Lowe,1.0,1,Chemistry,
Deborah Tobey,2.8,8,Human Development,60.0
Yollette Jones,3.2,7,History,50.0
Stephanie Higgs,4.4,7,English,100.0
Michael Johnson,4.9,8,Classics,
April Stevens,4.8,5,Languages,
Dave Stacey,3.9,18,Finance,91.0
Basak Gurel,3.8,4,Mathematics,
Andrew Daughety,0.0,0,Economics,
Amanda Lowery,3.4,7,Engineering,100.0
Rena Malkofsky-Berger,5.0,1,Education,
Valeria Sergueenkova,2.8,4,Classics,
Matt Stratton,4.5,6,Theater,67.0
Noam Maggor,4.7,7,Economics,
Kenneth Shriver,2.5,1,Physics,
Nathan Bertsch,4.0,1,Mathematics,
Mazita Tahir,4.8,21,Engineering,89.0
Peter Hudson,3.8,6,History,
Monique Lyle,3.1,6,Political Science,
Bethany Packard,5.0,3,English,
Joshua Beall,3.6,5,English,
Gennadi Kasparov,3.8,2,Mathematics,100.0
Randolph Blake,4.8,4,Psychology,100.0
Steve Pate,4.8,4,Management,
Samira Sheikh,3.5,15,History,73.0
Dawn Iacobucci,2.5,5,Marketing,
Mark McDonald,5.0,1,Engineering,100.0
Rebecca Donaldson,5.0,3,History,
Yariv Fadlon,4.2,8,Economics,
Jamie Butler,2.1,5,Languages,
Jamey Young,4.0,3,Engineering,
James Fraser,4.1,10,Human Development,50.0
Garrett Bredeson,4.8,2,Philosophy,
Chad Abushanab,4.0,3,English,
Elizabeth Catania,3.7,11,Neuroscience,86.0
Chie Furukawa,5.0,2,Languages,100.0
Alonso Varo Varo,4.9,5,Languages,
Nick Boatman,2.0,1,Mathematics,
Georgi Kapitanov,4.5,2,Mathematics,
Brian Rose,0.0,0,Education,
Christian Sawyer,5.0,1,Education,
Paul Guidone,3.0,1,Finance,
Trica Keaton,4.1,6,African-American Studies,100.0
Alex Spektor,4.9,4,Languages,
Stanley Thangaraj,4.3,9,Sociology,100.0
Lisa Guenther,4.5,6,Philosophy,100.0
Bob Isherwood,4.4,4,Management,
Stuart Garber,4.1,28,Accounting,92.0
Michelle Shepherd,5.0,2,Languages,
Corey Bower,4.0,1,Human Development,
Torin Monahan,4.0,1,Human Development,
Roxane Pajoul,4.9,4,Languages,
Jesse Ehrenfeld,0.0,0,Medicine,
Camila Delaney,4.0,1,Languages,
Ari Joskowicz,4.5,11,History,100.0
Adam Grener,4.8,10,English,
Amy Bull,0.0,0,Nursing,
Larry Hamm,1.9,5,Computer Science,
Mary Leah Lowe,4.6,8,Theater,100.0
William Turner,0.0,0,Human Development,
Steve Hoffler,0.0,0,Not Specified,
Remi Coulon,4.0,17,Mathematics,
Michael Goff,1.9,5,Mathematics,
Jerome Brillaud,5.0,2,Languages,
Ilya Krishtal,3.0,1,Mathematics,0.0
Dan Fang,3.9,4,English,
Belkis Barrios,4.3,6,Languages,100.0
Gabrielle Strouse,1.0,1,Psychology,
Chris Pexa,4.5,1,English,
Linda Zhang,5.0,3,Biomedical,
Timothy Ferguson,3.4,4,Mathematics,
Donna Webb,5.0,1,Biology,
Sandra Barnes,2.3,13,Human Development,100.0
Antoinette Sutto,2.3,2,History,
John Bunce,4.8,2,Anthropology,
Rachel Donaldson,4.8,6,American Studies,
Emily Shahan,5.0,1,Education,
Daniel Loveless,4.6,5,Engineering,
Xuemei Chen,5.0,1,Mathematics,
Peter Savelyev,3.9,7,Economics,100.0
Evan Ward,4.5,1,Languages,
Neil Butt,3.3,6,Communication,50.0
Karin Whitehouse,3.5,1,Languages,
Seth Smith,4.5,1,Physics,
Charles Bowie,4.0,1,English,
Andrew Hines,4.4,15,English,88.0
Kris Preacher,3.4,7,Psychology,100.0
Adam Miller,3.6,7,English,100.0
Janey Camp,0.0,0,Engineering,
David Furbish,3.0,2,Geomorphology & Geochronology,50.0
Patricia Kelly,2.8,11,Economics,
Erin Rericha,3.7,20,Physics,75.0
Erin Pellarin,5.0,1,English,
Carrie Masten,3.3,7,Human Development,
Tom Dillehay,2.3,4,Anthropology,
Sarah Kornfield,3.8,5,Communication,
David Rubin,5.0,1,Women's Studies,
Jennifer Fay,4.4,4,Film,50.0
Roberta Steiner,3.0,5,Not Specified,
Matthew Springer,4.6,10,Human Development,100.0
Alana Alvarez,4.8,3,Languages,
Paul Seguin,0.0,0,Finance,
Ellen Goldring,1.0,1,Education,
Anne Miller,1.0,1,Nursing,
Freddy Dominguez,5.0,1,History,
Adib Mahmud,5.0,1,Languages,
Tiffany Hodge,4.5,1,Humanities,
Emily Marshall,4.9,6,Mathematics,
Seth Mayne,2.3,3,Philosophy,
Chance Woods,3.7,21,English,71.0
Brian Fox,4.9,7,Marketing,
Curt Kent,3.1,5,Mathematics,
Jacob Peabody,2.0,1,Mathematics,
Lana Allen,1.0,1,Philosophy,
Matthew Smedberg,2.0,2,Mathematics,
Lisa Calfee,2.0,1,Biology,100.0
Scott Pearson,4.8,5,Health Science,100.0
Nancy Chick,4.5,1,English,
Matthew Lang,4.7,4,Engineering,100.0
Kate Juschenko,3.8,6,Mathematics,
Ralph Bruce,2.8,2,Engineering,
Piotr Kaszynski,3.3,3,Chemistry,
Rolanda Johnson,4.0,3,Women's Studies,
Jeremy Lecrone,3.6,5,Mathematics,
Deborah Hatton,1.0,2,Education,0.0
Gavin Price,3.6,4,Psychology,
Caner Koca,4.0,11,Mathematics,
Maureen May,5.0,1,Music,
Gregory Niemesh,4.5,3,Economics,
Alejandro Arango Vargas,1.5,6,Philosophy,50.0
Linda Nagle,0.0,0,Management,
Roza Aceska,2.0,6,Mathematics,
Karin Davidovich,5.0,3,Languages,100.0
Kenneth MacLeish,4.6,12,Anthropology,100.0
Arthur Carter,2.1,4,Religion,
Boston Woolfolk,5.0,2,Languages,
Bryan Lowe,4.6,11,Religion,86.0
Billy Adair,5.0,1,Music,
Brian Simanek,3.8,12,Mathematics,
Thomas Dabay,3.8,9,Philosophy,75.0
Carly Schall,4.2,3,Social Work,
Kamran Reihani,3.7,6,Mathematics,
Emily King,4.1,4,English,
Michiru Lowe,4.7,8,Asian Studies,100.0
Lucy Mensah,5.0,1,English,
Thomas Kephart,2.3,7,Physics,0.0
Cameron Browne,1.6,4,Mathematics,
Alejandro Molnar,2.2,26,Economics,100.0
William Otte,1.8,8,Computer Science,
Michael Lawson,3.8,24,Management,65.0
Jason Strudler,3.7,11,Languages,100.0
John Bradley,4.3,8,English,100.0
Tawn Albright,4.8,5,Management,
Jing Liu,5.0,13,Languages,100.0
Clara Mengolini,4.8,3,Languages,
Bennett Landman,4.3,7,Engineering,67.0
Mozhdeh Hamraie,4.5,2,Health Science,100.0
Abelardo Moncayo,4.3,7,Health Science,72.0
Steve Buckingham,4.5,3,Music,
Jeff Figwell,4.5,1,Philosophy,
Yago Antolin Pichel,3.4,14,Mathematics,
Luke Semrau,3.8,16,Philosophy,67.0
Russell Dunn,4.5,2,Engineering,100.0
Pietro Valdastri,4.5,1,Engineering,
Nancy Roche,4.2,15,English,67.0
Jeremy Wilson,5.0,1,Music,
Kristin Michelitch,4.0,6,Political Science,100.0
