Name,Rating,Rating Count,Department,Would Take Again %
Tedra Walden,2.1,12 ratings,Psychology,0%
Matthew Ramsey,3.6,14 ratings,History,N/A
Robert Crowson,3.8,9 ratings,Psychology,N/A
Robert Innes,3.9,15 ratings,Education,N/A
Mark Wolery,3.9,5 ratings,Education,N/A
Phil Davis,4.8,13 ratings,Engineering,100%
John Veillette,4.6,17 ratings,Engineering,100%
Chris Rowe,4.8,18 ratings,Engineering,100%
David Wright,2.8,30 ratings,Chemistry,100%
Fang Wan,0.0,0 ratings,Management,N/A
Marc Froment-Meurice,2.2,7 ratings,Languages,0%
Mary Beth Raycraft,4.4,22 ratings,Languages,N/A
Francisco Estrada-Belli,3.6,25 ratings,Anthropology,100%
Jemima Pierre,2.6,7 ratings,Anthropology,N/A
Kassian Kovalcheck,4.2,20 ratings,Communication,N/A
Julie Adams,2.9,8 ratings,Computer Science,N/A
Larry Dowdy,4.3,16 ratings,Computer Science,N/A
Richard McGregor,4.2,16 ratings,Religion,100%
Andrea Maneschi,2.9,18 ratings,Economics,N/A
James Lowe,3.3,20 ratings,Chemistry,N/A
Malcolm Getz,3.2,48 ratings,Economics,75%
Caleb Clanton,4.9,17 ratings,Philosophy,N/A
Charles Singleton,2.7,74 ratings,Biology,34%
Kathy Hoover-Dempsey,4.7,27 ratings,Education,N/A
Sam Girgus,3.5,27 ratings,Film,50%
Tim Boyd,4.7,17 ratings,History,N/A
Rich Milner,4.3,9 ratings,Education,N/A
Ron Porter,4.0,9 ratings,Fine Arts,N/A
Beth Conklin,3.8,25 ratings,Anthropology,84%
Sohee Park,3.3,17 ratings,Psychology,67%
Karen Campbell,3.5,14 ratings,Sociology,N/A
Mark Hosford,4.5,14 ratings,Fine Arts,67%
Alan Bowers,3.6,26 ratings,Engineering,82%
Raquel Rincon,3.7,33 ratings,Languages,N/A
Daniel Patte,3.2,12 ratings,Theology,N/A
Volker Oberacker,5.0,5 ratings,Physics,N/A
Roy Xu,2.2,13 ratings,Engineering,N/A
Jeremy Spinrad,3.1,36 ratings,Computer Science,82%
Jose Medina,4.2,17 ratings,Philosophy,100%
John Janusek,4.2,29 ratings,Anthropology,0%
John Bers,3.7,27 ratings,Engineering,N/A
David Carlton,3.3,37 ratings,History,50%
Waldir Sepúlveda,4.5,35 ratings,Languages,N/A
Julia Fesmire,3.8,37 ratings,Humanities,0%
William Franke,3.6,9 ratings,Religious Studies,67%
Michael Aurbach,4.4,6 ratings,Not Specified,N/A
Stephanie So,4.0,22 ratings,Economics,100%
Mike Neamtu,3.7,20 ratings,Mathematics,100%
Keiko Nakajima,4.4,12 ratings,Languages,100%
James Auer,4.3,11 ratings,Ethnic Studies,N/A
Jim Patton,3.7,41 ratings,Biology,100%
Mike Shor,4.9,8 ratings,Business,100%
Lorraine López,4.1,14 ratings,English,100%
Mark Jarman,4.2,10 ratings,English,100%
Edward Friedman,5.0,14 ratings,Languages,100%
Paul Young,4.7,12 ratings,English,N/A
Mary Karpos,3.4,77 ratings,Sociology,N/A
David Furse,3.0,11 ratings,Business,0%
Jason Dinger,4.8,6 ratings,Management,N/A
Ab Bonds,3.9,20 ratings,Engineering,N/A
Terry Witherington,3.7,6 ratings,Nursing,N/A
Diane Perpich,4.5,3 ratings,Philosophy,N/A
Francille Bergquist,4.2,9 ratings,Languages,N/A
Roy Neel,4.8,6 ratings,Political Science,N/A
Gregg Horowitz,3.9,8 ratings,Philosophy,N/A
Peggy Setje-Eilers,3.2,17 ratings,Languages,N/A
Miriam Halachmi,4.5,8 ratings,Languages,N/A
Joel Tellinghuisen,1.5,17 ratings,Chemistry,N/A
James Steiger,3.5,8 ratings,Psychology,N/A
Carol Swain,3.6,8 ratings,Political Science,N/A
Frank Boehm,4.3,6 ratings,Medicine,N/A
David Richter,4.6,4 ratings,Languages,N/A
Lewis Baldwin,4.4,13 ratings,Religion,N/A
Akunuri Ramayya,2.4,49 ratings,Physics,67%
. Crooke,2.8,13 ratings,Mathematics,N/A
Gregory Huffman,2.0,20 ratings,Economics,15%
Marilyn Murphy,4.4,11 ratings,Fine Arts,100%
Heather Talley,5.0,9 ratings,Sociology,N/A
Lynn Ramey,4.6,9 ratings,Languages,89%
Molly Miller,3.0,25 ratings,Geology,N/A
Steven Baskauf,3.9,60 ratings,Biology,43%
. McCauley,3.8,20 ratings,Biology,N/A
Beth Anne Bachmann,4.4,17 ratings,English,N/A
Terry Page,4.6,21 ratings,Biology,100%
Jeff Menne,3.3,10 ratings,English,N/A
Julie Sharp,4.4,16 ratings,Engineering,100%
Shane Hutson,3.7,11 ratings,Physics,100%
Wil Clouse,2.9,7 ratings,Management,100%
Josh Epstein,3.2,7 ratings,English,N/A
Greg Barz,3.9,35 ratings,Music,0%
Awadh Binhazim,4.0,3 ratings,Medicine,N/A
Kevin Clark,3.9,38 ratings,Management,N/A
Brian Bachmann,3.5,15 ratings,Chemistry,100%
William Damon,4.2,23 ratings,Finance,100%
Leah Marcus,4.1,16 ratings,English,75%
Libby Rowe,3.4,8 ratings,Art History,N/A
Tiffiny Tung,4.4,34 ratings,Anthropology,100%
Yoshikuni Igarashi,3.7,26 ratings,History,81%
Socrates Pantelides,1.8,26 ratings,Physics,100%
Michael McLendon,4.4,14 ratings,Education,N/A
Mark Dalhouse,4.7,25 ratings,History,N/A
Ronnie Steinberg,3.7,30 ratings,Sociology,N/A
Tony Brown,3.8,11 ratings,Sociology,N/A
Dale Ballou,2.3,12 ratings,Social Science,N/A
Judy Garber,3.7,3 ratings,Psychology,100%
Klint Alexander,4.1,41 ratings,Political Science,N/A
Laura Carpenter,3.2,12 ratings,Sociology,100%
Keith Moore,0.0,0 ratings,Mathematics,N/A
James Epstein,4.2,7 ratings,History,100%
Med Webster,1.9,13 ratings,Physics,N/A
Jens Frederiksen,4.7,5 ratings,Social Science,N/A
Patrick Abbot,4.3,32 ratings,Biology,100%
Julia Velkovska,2.5,12 ratings,Physics,N/A
Roy Gottfried,4.6,30 ratings,English,100%
Megan Saylor,4.1,19 ratings,Psychology,100%
Maury Nation,4.2,3 ratings,Psychology,N/A
Sharon Shields,3.5,8 ratings,Humanities,N/A
Shawn Salvant,4.2,6 ratings,English,N/A
Jon Kaas,3.4,9 ratings,Psychology,50%
Larry Isaac,4.8,13 ratings,Sociology,100%
Patricia Armstrong,4.7,8 ratings,Languages,N/A
Beverly Mahan,2.8,4 ratings,Psychology,N/A
Kevin Davis,4.0,11 ratings,Philosophy,N/A
John Ayers,4.0,7 ratings,Geology,100%
Kefyn Catley,4.1,5 ratings,Biology,100%
Susan Demay,4.6,12 ratings,Art,N/A
Robert (bob) Hodapp,3.6,6 ratings,Education,100%
Tonya West,0.0,0 ratings,Education,N/A
Jonathan Lamb,3.0,11 ratings,English,50%
Pearl Sims,4.9,5 ratings,Education,N/A
Patrick Bateman,4.4,5 ratings,Economics,N/A
John Gore,4.1,14 ratings,Physics,N/A
Michael Kreyling,3.9,25 ratings,English,25%
Linda Isaacs,2.5,18 ratings,Human Development,N/A
Mark Abkowitz,4.8,2 ratings,Engineering,N/A
Susan Berk-Seligson,4.4,4 ratings,Languages,N/A
Florence Faucher-King,2.5,17 ratings,Political Science,N/A
Amanda Krauss,4.1,10 ratings,Classics,N/A
Judy Lewis,4.1,16 ratings,Engineering,N/A
Kathleen Lane,0.0,0 ratings,Education,N/A
Samuele Pardini,4.6,9 ratings,Languages,50%
Christian Grose,4.0,16 ratings,Political Science,N/A
Marcy Singer-Gabella,2.9,3 ratings,Education,0%
Joy Ramirez,3.7,5 ratings,Languages,N/A
Frances Alpren,3.3,25 ratings,Languages,17%
Andy Tomarken,5.0,3 ratings,Psychology,N/A
Nicole Seymour,4.6,5 ratings,English,N/A
Sait Umar,4.5,8 ratings,Physics,N/A
Kathryn Anderson,2.8,18 ratings,Economics,63%
Andrzej Krezel,2.5,9 ratings,Biology,N/A
Susan Hylen,3.3,12 ratings,Religion,N/A
Mark Cannon,4.5,10 ratings,Human Development,100%
Philip Rasico,3.7,21 ratings,Languages,67%
Olga Sapir,2.8,3 ratings,Mathematics,N/A
Elena Segovia,4.7,18 ratings,Languages,100%
Miranda Nesler,4.0,7 ratings,English,N/A
Vivien Fryd,2.9,34 ratings,Art History,100%
Donald Jellerson,5.0,5 ratings,English,N/A
Kurt Johnson,3.9,12 ratings,History,N/A
Bob Galloway,5.0,2 ratings,Engineering,N/A
Patrick Ahern,3.3,12 ratings,Philosophy,N/A
Cherrie Clark,4.3,21 ratings,Management,N/A
Charles Sissom,4.9,8 ratings,Biology,100%
Scott Aikin,4.8,33 ratings,Philosophy,100%
Steven Tschantz,4.1,13 ratings,Mathematics,100%
Ben Iobst,0.0,0 ratings,Geology,N/A
Rene Prieto,3.6,12 ratings,Languages,N/A
Vera Chatman,1.6,11 ratings,Nursing,N/A
Eva Dessein,4.2,9 ratings,Languages,N/A
Lisa Weiss,4.3,2 ratings,Languages,N/A
Jonathan Hiskey,3.7,22 ratings,Political Science,85%
Dyan Elliott,3.0,4 ratings,History,N/A
Jay Geller,3.3,7 ratings,Religion,100%
Meike Werner,4.7,9 ratings,Languages,100%
Jaya Kasibhatla,3.8,12 ratings,English,N/A
Nafissa Thompson,3.7,5 ratings,English,N/A
Charlotte Hansen,0.0,0 ratings,Culinary Arts,N/A
Alex Fortuna,0.0,0 ratings,Mathematics,N/A
Anastasia Curwood,3.8,9 ratings,African-American Studies,N/A
Tracy Sharpley-Whiting,4.7,9 ratings,African-American Studies,100%
Jay Bloom,4.6,19 ratings,Art History,N/A
Matt Whitt,4.3,7 ratings,Philosophy,N/A
Charles Cobb,4.6,23 ratings,Nursing,100%
Louise A Rollins-Smith,2.9,7 ratings,Microbiology,0%
John Bachmann,3.8,16 ratings,Human Development,N/A
YI Cui,3.5,7 ratings,Computer Science,N/A
Steven J. Tepper,4.4,8 ratings,Sociology,N/A
Brandt Eichman,4.2,11 ratings,Biology,100%
Carlos Jauregui,3.5,17 ratings,Languages,N/A
Richard Peters,3.9,14 ratings,Engineering,67%
Christine Mowery,0.0,0 ratings,Sociology,N/A
Thomas Palmeri,3.9,9 ratings,Psychology,100%
Daniel Kaplan,4.7,10 ratings,Biology,N/A
Alice Chuang,3.8,6 ratings,English,N/A
Rosevelt Noble,4.2,21 ratings,Sociology,67%
Charlene Harb,4.8,2 ratings,Music,N/A
G. Kane Jennings,4.8,15 ratings,Engineering,100%
Joan King,1.8,3 ratings,Nursing,0%
Dean Masullo,4.7,16 ratings,English,100%
Ayaka Sogabe,4.6,8 ratings,Languages,N/A
Grace Zoorob,3.2,11 ratings,Chemistry,N/A
Chad Lykins,3.0,2 ratings,Philosophy,N/A
Jim Foglesong,4.6,6 ratings,Music,N/A
Pamela Corley,3.5,10 ratings,Political Science,N/A
Terri Spetalnick,3.9,25 ratings,Sociology,63%
Louis Betty,3.3,2 ratings,TA,N/A
Katherine Fusco,3.4,25 ratings,English,100%
Peter Ciesielski,4.0,1 ratings,Engineering,N/A
Jennifer Krause,4.4,19 ratings,Humanities,N/A
James Grady,4.3,9 ratings,Philosophy,N/A
Robert Reed,4.4,8 ratings,Engineering,50%
Travis Dunlap,4.2,3 ratings,Nursing,100%
Clarence Creech,0.0,0 ratings,Medicine,N/A
Bridget Orr,4.2,11 ratings,English,100%
Sharma Shubra,4.1,7 ratings,Women's Studies,N/A
Mark Wollaeger,4.4,34 ratings,English,100%
David Lowe,3.8,3 ratings,Not Specified,N/A
Justin Fitzpatrick,4.9,22 ratings,Mathematics,100%
Bob Hammond,3.5,2 ratings,Economics,N/A
Henning Grunwald,4.2,8 ratings,History,N/A
Shamindra Ghosh,2.8,12 ratings,Mathematics,N/A
Elena Deanda,3.3,4 ratings,Languages,N/A
David Dickinson,2.5,4 ratings,Education,N/A
Catalina Restrepo,4.5,1 ratings,Languages,N/A
Houston Baker,3.3,10 ratings,English,0%
Rodelio Manacsa,4.2,12 ratings,Political Science,N/A
Irina Makoveeva,5.0,1 ratings,Not Specified,N/A
T Trafton,4.5,2 ratings,Economics,N/A
Fredrick Haselton,3.0,2 ratings,Engineering,100%
Tim Gardner,0.0,0 ratings,Business,N/A
Penelope (Penny) Brooks,3.1,6 ratings,Psychology,N/A
Jinah Kim,2.8,3 ratings,Art History,N/A
Suhas Ketkar,4.0,5 ratings,Economics,N/A
James Foster,2.9,7 ratings,Economics,N/A
Bushra Hamad,4.4,11 ratings,Religion,100%
David Petrain,4.4,4 ratings,Classics,N/A
David Franklin,3.0,5 ratings,Management,N/A
Jeff Edmonds,4.3,8 ratings,Philosophy,N/A
Holly Tucker,4.5,21 ratings,Medicine,72%
Kenneth Faber,4.7,9 ratings,Philosophy,100%
Ingrid A. Schwab,4.0,2 ratings,Languages,N/A
Norman Tolk,2.6,9 ratings,Physics,0%
Irene Foster,4.2,8 ratings,Management,N/A
Kevin Kirkpatrick,3.9,9 ratings,Management,N/A
Dayle Savage,2.6,7 ratings,Human Development,N/A
Hortense Spillers,2.8,13 ratings,English,34%
Erin O'Hara,3.5,2 ratings,Law,0%
Bronwen Wickkiser,4.6,4 ratings,Classics,N/A
John McCarthy,3.0,9 ratings,Languages,N/A
Clare McCabe,2.9,12 ratings,Engineering,0%
Kourosh Zarringhalam,3.9,7 ratings,Mathematics,100%
Jonathan Bremer,4.2,8 ratings,Philosophy,100%
Kathy Conkwright,2.0,4 ratings,Film,N/A
Janet Eyler,4.8,2 ratings,Human Development,N/A
Daniel Spoth,4.7,8 ratings,English,N/A
Ken Spring,0.0,0 ratings,Sociology,N/A
Stephen Benning,3.4,6 ratings,Psychology,N/A
Clifford Ball,1.0,1 ratings,Business,N/A
Bruce Barry,3.0,1 ratings,Management,N/A
Kathy Keltner,0.0,0 ratings,Communication,N/A
Steve Baum,4.3,22 ratings,Education,N/A
Steve Wernke,4.1,12 ratings,Anthropology,100%
Rachel Nisselson,2.8,3 ratings,Languages,N/A
Janet McDonald,4.3,14 ratings,Management,0%
Bonnie Dow,3.6,15 ratings,Communication,0%
Kelly Holley-Bockelmann,4.0,2 ratings,Astronomy,N/A
Todd Peterson,4.0,2 ratings,Physics,100%
Paul Chaney,2.3,3 ratings,Management,N/A
Diana Bellonby,4.5,8 ratings,English,N/A
Elizabeth Weber,4.8,2 ratings,Languages,N/A
John Morrell,4.4,8 ratings,English,N/A
Jane Wanninger,3.8,3 ratings,English,N/A
Peter Pintauro,4.8,2 ratings,Engineering,N/A
David Muller,4.1,11 ratings,Theater,N/A
Elena Olazagasti-Segovia,4.5,12 ratings,Spanish,60%
Courtney Muse,3.9,22 ratings,Sociology,86%
Ted Parent,1.1,6 ratings,Philosophy,N/A
Tara Davis,4.2,5 ratings,Mathematics,N/A
Humberto Garcia,4.2,9 ratings,English,N/A
Robert Webster,4.0,4 ratings,Engineering,N/A
John Rieser,2.2,10 ratings,Psychology,0%
Caleb Stroup,4.8,18 ratings,Economics,N/A
Jamie Zuehl,1.0,1 ratings,Anthropology,N/A
Alice Goodyear,4.5,33 ratings,Economics,N/A
Vanessa Beasley,4.8,6 ratings,Communication,100%
Joel Rodrigue,3.5,18 ratings,Economics,40%
Elizabeth Meadows,3.9,6 ratings,English,80%
Paul Speer,4.6,4 ratings,Human Development,N/A
Elizabeth Zechmeister,4.8,12 ratings,Political Science,100%
Sharon Yates,0.0,0 ratings,Education,N/A
Kevin Stack,4.2,4 ratings,Law,0%
Jeffrey Black,3.5,2 ratings,Engineering,N/A
Brian Mitchell,4.5,1 ratings,Education,N/A
James Maiello,4.6,5 ratings,Music,N/A
Forrest Perry,4.8,2 ratings,Computer Science,N/A
Harry May,0.0,0 ratings,Political Studies,N/A
Catherine Timura,0.0,0 ratings,Anthropology,N/A
Hyeok Jeong,2.0,9 ratings,Economics,100%
Erin Tarver,2.6,4 ratings,Philosophy,N/A
Lauren Kohut,0.0,0 ratings,Anthropology,N/A
Megan Minarich,4.3,10 ratings,English,100%
Beth Koontz,0.0,0 ratings,Anthropology,N/A
Kelly Oliver,4.2,6 ratings,Philosophy,100%
Gary Sulikowski,3.3,14 ratings,Chemistry,100%
Matthew Calef,4.8,2 ratings,Mathematics,N/A
Adam Turk,4.7,3 ratings,Philosophy,N/A
Joan Forry,4.0,9 ratings,Philosophy,N/A
Serkan Akguc,4.1,16 ratings,Accounting,N/A
Ali Onder,2.4,4 ratings,Economics,N/A
Ju-Yi Yen,1.7,7 ratings,Mathematics,N/A
Bettina Engh,0.0,0 ratings,Nursing,N/A
Ahad Nasab,4.4,10 ratings,Mechanical Engineering,100%
Miriam Shakow,4.0,7 ratings,Anthropology,N/A
Carol Atkinson,3.3,13 ratings,Political Science,N/A
Paul Dokecki,4.0,2 ratings,Psychology,N/A
Ellen Fanning,0.0,0 ratings,Biology,N/A
Sea Mitchell,3.7,5 ratings,Anthropology,N/A
Angela Sutton,5.0,1 ratings,History,N/A
Charles Lukehart,2.6,14 ratings,Chemistry,N/A
Jonathon Whitehouse,2.7,33 ratings,Mathematics,N/A
Michael Chance,4.1,12 ratings,Mathematics,N/A
Jesse Peterson,3.9,15 ratings,Mathematics,100%
Gabriel Cervantes,3.5,2 ratings,English,100%
Matthew Nickodemus,4.0,5 ratings,Mathematics,N/A
Kazuhiko Kawamura,3.0,5 ratings,Engineering,100%
Chris Neiman,3.1,4 ratings,Human Development,N/A
Constance Gee,2.3,3 ratings,Human Development,N/A
Adam Weaver,2.3,4 ratings,Mathematics,N/A
Nicholas Villanueva,4.1,9 ratings,History,N/A
Morna O'Neill,4.8,5 ratings,Art History,N/A
Jeffrey Nymann,0.0,0 ratings,Engineering,N/A
Mrinal Raghupathi,4.5,9 ratings,Mathematics,N/A
Matthew Eatough,4.9,4 ratings,English,N/A
George Sweeney,4.7,3 ratings,Economics,N/A
Giacomo Chiozza,3.9,8 ratings,Political Science,N/A
Ralph McKenzie,1.0,2 ratings,Mathematics,N/A
Isleide Zissimos,3.2,15 ratings,Economics,N/A
Kat Baker,4.5,3 ratings,Religion,N/A
Jeffrey Harris,0.0,0 ratings,Mathematics,N/A
Terence McDonnell,4.5,3 ratings,Sociology,N/A
Abey Lopez,5.0,1 ratings,Mathematics,N/A
Chase Lesane-Brown,1.8,14 ratings,Clinical Sciences,N/A
Mike Mihalik,4.6,19 ratings,Mathematics,100%
Brooke Traynham,5.0,7 ratings,Engineering,N/A
Betsey Robinson,4.7,6 ratings,Art History,100%
Ellen Horowitz,0.0,0 ratings,Philosophy,N/A
Nancy King,0.0,0 ratings,Law,N/A
Dongping Zhuang,1.6,14 ratings,Mathematics,N/A
Tugba Gursel Sevin,3.3,4 ratings,Languages,100%
Marian Yagel,4.0,10 ratings,Medicine,N/A
Gary Gerstle,4.7,7 ratings,History,N/A
Thomas Nagle,3.7,9 ratings,Management,N/A
Scott Davis,2.9,7 ratings,Economics,N/A
Emily Nacol,4.7,18 ratings,Political Science,84%
Juraj Foldes,4.3,12 ratings,Mathematics,N/A
Jason Husser,4.9,9 ratings,Political Science,N/A
Michael Alijewicz,3.7,9 ratings,English,N/A
Thomas Weiler,1.8,5 ratings,Physics,0%
Lauren Hoffer,4.4,6 ratings,English,N/A
Michele Salisbury,0.0,0 ratings,Women's Studies,N/A
Derek Riley,5.0,2 ratings,Computer Science,N/A
Larry Churchill,4.8,2 ratings,Ethnic Studies,N/A
Marilyn Ollila,4.7,3 ratings,Management,N/A
Adam Wilsman,0.0,0 ratings,History,N/A
Sandy Solomon,2.9,5 ratings,English,0%
Alex Dafonte,3.6,11 ratings,Education,50%
Ken Debelak,2.4,5 ratings,Engineering,0%
Joanna Pressley,3.4,8 ratings,Mathematics,N/A
David Merryman,4.1,14 ratings,Engineering,100%
Marcio Bahia,4.9,14 ratings,Languages,100%
Matjaz Konvalinka,2.5,1 ratings,Mathematics,N/A
Zeynep Somer-Topcu,3.8,13 ratings,Political Science,100%
Abhijit Barman,5.0,1 ratings,Engineering,N/A
Mark Peter,3.5,3 ratings,Philosophy,N/A
Katherine Donato,4.5,1 ratings,Sociology,N/A
Dongping Huang,1.0,1 ratings,Mathematics,N/A
Terra Dailey,0.0,0 ratings,Management,N/A
Camille Sutton,4.8,6 ratings,Languages,N/A
Julian Ledford,4.9,6 ratings,Languages,N/A
Natalie Cisneros,2.9,8 ratings,Philosophy,N/A
Jerry Kimbrough,5.0,1 ratings,Music,N/A
Rufus Willett,3.8,6 ratings,Mathematics,N/A
Jason Parker,0.0,0 ratings,Languages,N/A
Grace Hernandez,0.0,0 ratings,Classics,N/A
Jonathan Rattner,4.1,20 ratings,Film,100%
Denise Callejas,4.5,5 ratings,Languages,N/A
Elizabeth Edenberg,4.7,3 ratings,Philosophy,N/A
David Mora,4.4,10 ratings,Languages,N/A
Qiyu Sun,2.0,1 ratings,Mathematics,N/A
Luke Froeb,5.0,1 ratings,Economics,N/A
Wade Ostrowski,4.8,2 ratings,English,N/A
Rosie Seagraves,4.2,9 ratings,Languages,N/A
Rachel Early,3.8,4 ratings,Languages,N/A
David Gray,5.0,1 ratings,Philosophy,N/A
Stacy Hoehn,5.0,1 ratings,Mathematics,N/A
Thomas Hagelbroek,2.0,1 ratings,Mathematics,N/A
LU Sun,4.5,4 ratings,History,100%
Allison McGuire,3.1,20 ratings,Human Development,N/A
Susan Hansen,0.0,0 ratings,Philosophy,N/A
Wai Suen,4.5,7 ratings,Philosophy,N/A
Norman Whitman,4.6,11 ratings,Philosophy,N/A
Christopher Davies,5.0,15 ratings,Philosophy,100%
Christopher Wells,4.4,13 ratings,Philosophy,100%
Terry Griffith,0.0,0 ratings,Human Development,N/A
Fahad Al-Shehri,3.7,3 ratings,Languages,N/A
Greg Stielstra,0.0,0 ratings,Marketing,N/A
Richard Burstein,1.5,4 ratings,Mathematics,N/A
Tyson Brown,3.8,3 ratings,Sociology,N/A
Jill Fisher,3.0,2 ratings,Medicine,N/A
Yasuko Shiomi,4.8,3 ratings,Languages,N/A
Max Goldman,4.2,14 ratings,Classics,100%
Stephanie Pruitt,5.0,7 ratings,English,N/A
Suzanne Globetti,4.9,25 ratings,Political Science,100%
Michael Brodrick,5.0,2 ratings,Philosophy,N/A
Rebecca Chapman,4.8,17 ratings,English,100%
Douglas McMahon,3.8,3 ratings,Biology,100%
Scott Guelcher,3.1,6 ratings,Engineering,N/A
Sarah Glynn,0.0,0 ratings,Sociology,N/A
Deanna Matheuszik,1.0,1 ratings,History,N/A
Matthew Tyska,0.0,0 ratings,Biomedical,N/A
Charles Sentell,5.0,1 ratings,Philosophy,N/A
Charlotte Hagood,0.0,0 ratings,English,N/A
Jim Lowe,1.0,1 ratings,Chemistry,N/A
Deborah Tobey,2.8,8 ratings,Human Development,60%
Yollette Jones,3.2,7 ratings,History,50%
Stephanie Higgs,4.4,7 ratings,English,100%
Michael Johnson,4.9,8 ratings,Classics,N/A
April Stevens,4.8,5 ratings,Languages,N/A
Dave Stacey,3.9,18 ratings,Finance,91%
Basak Gurel,3.8,4 ratings,Mathematics,N/A
Andrew Daughety,0.0,0 ratings,Economics,N/A
Amanda Lowery,3.4,7 ratings,Engineering,100%
Rena Malkofsky-Berger,5.0,1 ratings,Education,N/A
Valeria Sergueenkova,2.8,4 ratings,Classics,N/A
Matt Stratton,4.5,6 ratings,Theater,67%
Noam Maggor,4.7,7 ratings,Economics,N/A
Kenneth Shriver,2.5,1 ratings,Physics,N/A
Nathan Bertsch,4.0,1 ratings,Mathematics,N/A
Mazita Tahir,4.8,21 ratings,Engineering,89%
Peter Hudson,3.8,6 ratings,History,N/A
Monique Lyle,3.1,6 ratings,Political Science,N/A
Bethany Packard,5.0,3 ratings,English,N/A
Joshua Beall,3.6,5 ratings,English,N/A
Gennadi Kasparov,3.8,2 ratings,Mathematics,100%
Randolph Blake,4.8,4 ratings,Psychology,100%
Steve Pate,4.8,4 ratings,Management,N/A
Samira Sheikh,3.5,15 ratings,History,73%
Dawn Iacobucci,2.5,5 ratings,Marketing,N/A
Mark McDonald,5.0,1 ratings,Engineering,100%
Rebecca Donaldson,5.0,3 ratings,History,N/A
